1 MO,2 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR
-0.0009000000000000208,,-0.0018000000000000015,0.0008999999999999808,-0.0018000000000000015,-0.0,0.0008999999999999808,-0.0,-0.0,-0.0009000000000000208,-0.0027000000000000223,-0.0018000000000000015
0.003600000000000003,,-0.0,0.0009000000000000208,0.0008999999999999808,0.0026999999999999824,0.0027000000000000223,0.004499999999999985,0.005400000000000005,0.007200000000000006,0.007200000000000006,0.006300000000000025
-0.0,,-0.0008999999999999808,-0.0,-0.0,-0.0,0.0008999999999999808,-0.0,-0.0,-0.0008999999999999808,-0.0,-0.0
-0.0026999999999999824,,-0.0027000000000000223,-0.0027000000000000223,-0.0008999999999999808,-0.0,-0.0008999999999999808,-0.0008999999999999808,-0.0009000000000000208,-0.0009000000000000208,-0.0018000000000000015,-0.0018000000000000015
-0.0018000000000000015,,0.0009000000000000208,0.0009000000000000208,0.0008999999999999808,-0.0018000000000000015,-0.0009000000000000208,-0.0009000000000000208,-0.0,-0.0,0.0009000000000000208,0.0018000000000000015
-0.0009000000000000208,-0.0008999999999999808,-0.0009000000000000208,-0.0009000000000000208,-0.0,-0.0018000000000000015,-0.0018000000000000015,-0.0018000000000000015,-0.0026999999999999824,-0.0026999999999999824,-0.0027000000000000223,-0.0027000000000000223
0.0009000000000000208,-0.0,-0.0008999999999999808,-0.0,-0.0008999999999999808,0.0018000000000000015,0.0018000000000000015,0.0009000000000000208,0.0018000000000000015,0.0018000000000000015,0.0009000000000000208,-0.0008999999999999808
-0.0,-0.0,0.0008999999999999808,-0.0008999999999999808,-0.0,-0.004499999999999985,-0.003600000000000003,-0.0018000000000000015,-0.0027000000000000223,-0.0027000000000000223,-0.0027000000000000223,-0.0018000000000000015
0.0008999999999999808,-0.0018000000000000015,-0.0026999999999999824,-0.0009000000000000208,-0.0009000000000000208,-0.0,-0.0,-0.0,0.0009000000000000208,-0.0,-0.0,-0.0
-0.0026999999999999824,0.0018000000000000015,0.0008999999999999808,0.0009000000000000208,0.0009000000000000208,0.0026999999999999824,0.003600000000000003,0.003600000000000003,0.0026999999999999824,0.0027000000000000223,0.0018000000000000015,0.0008999999999999808
0.0008999999999999808,-0.0,-0.0008999999999999808,0.0008999999999999808,0.0026999999999999824,0.004500000000000023,0.005400000000000005,0.006299999999999985,0.007200000000000006,0.006299999999999985,0.004499999999999985,0.003600000000000003
0.0009000000000000208,-0.0009000000000000208,-0.0,-0.0,-0.0018000000000000015,-0.0018000000000000015,-0.0026999999999999824,-0.003600000000000003,-0.004499999999999985,-0.003600000000000003,-0.0026999999999999824,-0.0018000000000000015
0.0026999999999999824,0.0027000000000000223,0.0008999999999999808,-0.0,0.0027000000000000223,0.004499999999999985,0.006299999999999985,0.006299999999999985,0.006299999999999985,0.005400000000000005,0.003600000000000003,0.0027000000000000223
-0.0008999999999999808,-0.0,-0.0008999999999999808,-0.0018000000000000015,-0.0009000000000000208,-0.0,-0.0008999999999999808,-0.0,-0.0,-0.0,-0.0,-0.0009000000000000208
-0.003600000000000003,-0.004499999999999985,0.0008999999999999808,0.0009000000000000208,-0.0018000000000000015,-0.0026999999999999824,-0.003600000000000003,-0.0026999999999999824,-0.0026999999999999824,-0.003600000000000003,-0.0026999999999999824,-0.0026999999999999824
0.0008999999999999808,-0.0,-0.0008999999999999808,-0.0009000000000000208,-0.0026999999999999824,-0.0027000000000000223,-0.0027000000000000223,-0.003600000000000003,-0.003600000000000003,-0.0026999999999999824,-0.003600000000000003,-0.0027000000000000223
-0.0008999999999999808,-0.0018000000000000015,0.0018000000000000015,-0.0,0.0018000000000000015,0.0027000000000000223,0.0018000000000000015,0.0018000000000000015,0.0008999999999999808,0.0008999999999999808,0.0008999999999999808,0.0009000000000000208
0.0018000000000000015,-0.0,-0.0009000000000000208,-0.0008999999999999808,-0.0027000000000000223,-0.006300000000000025,-0.006299999999999985,-0.007200000000000006,-0.006299999999999985,-0.007200000000000006,-0.007200000000000006,-0.007200000000000006
-0.0009000000000000208,-0.0009000000000000208,-0.0026999999999999824,-0.0008999999999999808,-0.0008999999999999808,-0.0,-0.0009000000000000208,0.0009000000000000208,0.0008999999999999808,0.0018000000000000015,0.0027000000000000223,0.0026999999999999824
-0.0026999999999999824,-0.0,0.0008999999999999808,-0.0009000000000000208,-0.0009000000000000208,-0.0018000000000000015,-0.0017999999999999616,-0.0018000000000000015,-0.0018000000000000015,-0.0018000000000000015,-0.0009000000000000208,-0.0
-0.0,-0.0,-0.0018000000000000015,0.0009000000000000208,-0.0018000000000000015,-0.0026999999999999824,-0.0018000000000000015,-0.0018000000000000015,-0.0008999999999999808,-0.0,-0.0,-0.0
0.0018000000000000015,-0.0,0.0018000000000000015,-0.0009000000000000208,-0.0,-0.0018000000000000015,-0.0018000000000000015,-0.0018000000000000015,-0.0018000000000000015,-0.0018000000000000015,-0.0008999999999999808,-0.0
-0.0,-0.0008999999999999808,-0.0008999999999999808,-0.0,0.0009000000000000208,0.003600000000000003,0.003600000000000003,0.003600000000000003,0.003600000000000003,0.004500000000000023,0.003600000000000003,0.0027000000000000223
-0.0027000000000000223,-0.0018000000000000015,-0.0018000000000000015,-0.0008999999999999808,0.0008999999999999808,0.004499999999999985,0.005399999999999965,0.005399999999999965,0.005400000000000005,0.004499999999999985,0.003600000000000003,0.003600000000000003
-0.0,-0.0009000000000000208,-0.0,0.0008999999999999808,0.0009000000000000208,0.0027000000000000223,0.0027000000000000223,0.003600000000000003,0.0026999999999999824,0.0018000000000000015,0.0018000000000000015,0.0008999999999999808
0.003600000000000003,0.0009000000000000208,0.0008999999999999808,0.0009000000000000208,0.0008999999999999808,-0.0,0.0008999999999999808,0.0009000000000000208,0.0018000000000000015,0.0009000000000000208,-0.0009000000000000208,-0.0008999999999999808
-0.0008999999999999808,0.0008999999999999808,0.0009000000000000208,0.0008999999999999808,0.0018000000000000015,0.004499999999999985,0.005400000000000005,0.003600000000000003,0.0026999999999999824,0.0026999999999999824,0.003600000000000003,0.0026999999999999824
-0.0018000000000000015,-0.0008999999999999808,-0.0018000000000000015,-0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,0.0027000000000000223,0.0026999999999999824,0.0018000000000000015,0.0018000000000000015,0.0008999999999999808,0.0009000000000000208
-0.0,-0.0027000000000000223,-0.0009000000000000208,0.0009000000000000208,-0.0008999999999999808,-0.0,-0.0009000000000000208,-0.0008999999999999808,-0.0,-0.0,-0.0,0.0008999999999999808
-0.0018000000000000015,0.0009000000000000208,-0.0018000000000000015,-0.0009000000000000208,-0.0,-0.0018000000000000015,-0.0008999999999999808,-0.0009000000000000208,-0.0008999999999999808,-0.0,-0.0,-0.0
-0.0,-0.0009000000000000208,-0.0,-0.0,-0.0,-0.0,0.0008999999999999808,0.0009000000000000208,0.0008999999999999808,0.0009000000000000208,0.0009000000000000208,-0.0
0.0008999999999999808,-0.0,-0.0,-0.0018000000000000015,-0.0027000000000000223,-0.0026999999999999824,-0.0026999999999999824,-0.0018000000000000015,-0.0008999999999999808,-0.0018000000000000015,-0.0009000000000000208,-0.0008999999999999808
-0.006299999999999985,-0.0018000000000000015,-0.0,0.0009000000000000208,-0.0,0.0008999999999999808,-0.0,0.0008999999999999808,-0.0,0.0008999999999999808,-0.0,-0.0
-0.0,-0.0,0.0009000000000000208,-0.0,0.0009000000000000208,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,0.0008999999999999808,-0.0,-0.0008999999999999808,-0.0018000000000000015
-0.0,0.0027000000000000223,0.0026999999999999824,0.0008999999999999808,-0.0,-0.0,0.0008999999999999808,0.0018000000000000015,0.0027000000000000223,0.0027000000000000223,0.0018000000000000015,0.0008999999999999808
-0.0,0.0008999999999999808,-0.0,-0.0,-0.0009000000000000208,0.0009000000000000208,-0.0,0.0009000000000000208,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,0.0027000000000000223
0.0009000000000000208,-0.0018000000000000015,-0.0008999999999999808,-0.003600000000000003,-0.0018000000000000015,-0.0027000000000000223,-0.0008999999999999808,0.0008999999999999808,0.0018000000000000015,0.0026999999999999824,0.003600000000000003,0.0026999999999999824
-0.006300000000000025,-0.006299999999999985,-0.003600000000000003,-0.0018000000000000015,0.0009000000000000208,0.0027000000000000223,0.0026999999999999824,0.003600000000000003,0.005400000000000005,0.006299999999999985,0.009000000000000008,0.009899999999999989
0.0009000000000000208,-0.0,0.0008999999999999808,0.0018000000000000015,0.0008999999999999808,0.004499999999999985,0.004500000000000023,0.003600000000000003,0.003600000000000003,0.003600000000000003,0.003600000000000003,0.0018000000000000015
0.003600000000000003,0.0018000000000000015,0.0009000000000000208,0.0018000000000000015,0.0018000000000000015,0.0026999999999999824,0.003599999999999963,0.004499999999999985,0.0026999999999999824,0.0018000000000000015,-0.0,-0.0
-0.0,0.0008999999999999808,-0.0009000000000000208,-0.0,-0.0008999999999999808,-0.0,-0.0008999999999999808,-0.0008999999999999808,-0.0,-0.0,0.0008999999999999808,0.0009000000000000208
0.003600000000000003,0.0027000000000000223,-0.0,-0.0008999999999999808,-0.0009000000000000208,-0.005399999999999965,-0.004499999999999985,-0.003600000000000003,-0.003600000000000003,-0.003600000000000003,-0.0018000000000000015,-0.0
-0.0018000000000000015,-0.0018000000000000015,-0.0018000000000000015,-0.0009000000000000208,-0.0,0.0008999999999999808,-0.0,-0.0018000000000000015,-0.0026999999999999824,-0.0018000000000000015,-0.0018000000000000015,-0.0018000000000000015
-0.005400000000000005,-0.0018000000000000015,-0.0,-0.0,0.0009000000000000208,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,0.0008999999999999808,-0.0,-0.0008999999999999808,-0.0009000000000000208
-0.0,-0.0009000000000000208,0.0009000000000000208,-0.0,0.0008999999999999808,0.0018000000000000015,0.003599999999999963,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015
-0.0,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,0.0018000000000000015,0.0026999999999999824,0.003600000000000003,0.003600000000000003,0.003600000000000003,0.0027000000000000223,0.0026999999999999824,0.0027000000000000223
0.0008999999999999808,-0.0,0.0008999999999999808,0.0009000000000000208,0.0018000000000000015,0.004500000000000023,0.003600000000000003,0.003600000000000003,0.0026999999999999824,0.003600000000000003,0.003600000000000003,0.003600000000000003
-0.0,-0.0,-0.0008999999999999808,-0.0009000000000000208,0.0018000000000000015,0.0018000000000000015,0.0027000000000000223,0.0026999999999999824,0.004500000000000023,0.004499999999999985,0.006299999999999985,0.006299999999999985
-0.006299999999999985,-0.0026999999999999824,0.0008999999999999808,-0.0008999999999999808,-0.0018000000000000015,-0.003600000000000003,-0.003600000000000003,-0.0026999999999999824,-0.0027000000000000223,-0.0018000000000000015,-0.0026999999999999824,-0.0018000000000000015
0.0008999999999999808,-0.0,-0.0,0.0008999999999999808,0.0018000000000000015,0.003600000000000003,0.003600000000000003,0.0008999999999999808,-0.0,-0.0,-0.0,-0.0008999999999999808
-0.0008999999999999808,-0.0009000000000000208,-0.005400000000000005,0.0018000000000000015,0.0009000000000000208,0.007200000000000006,0.004499999999999985,0.005400000000000005,0.005400000000000005,0.004499999999999985,0.003600000000000003,0.0026999999999999824
0.0008999999999999808,-0.0,0.0009000000000000208,-0.0018000000000000015,-0.0,-0.005400000000000005,-0.003600000000000003,-0.008099999999999987,-0.007200000000000006,-0.006299999999999985,-0.005400000000000005,-0.005400000000000005
-0.0018000000000000015,-0.0026999999999999824,0.0026999999999999824,0.004499999999999985,0.0026999999999999824,0.004499999999999985,0.004500000000000023,0.006299999999999985,0.005400000000000005,0.003600000000000003,0.0018000000000000015,0.0009000000000000208
0.003600000000000003,-0.0009000000000000208,0.0009000000000000208,0.0009000000000000208,0.0009000000000000208,0.003600000000000003,0.004499999999999985,0.003600000000000003,0.004500000000000023,0.004499999999999985,0.0026999999999999824,0.0008999999999999808
-0.004499999999999985,0.0018000000000000015,-0.004500000000000023,-0.007200000000000006,-0.005400000000000005,0.003600000000000003,0.003600000000000003,0.004500000000000023,0.003600000000000003,0.0027000000000000223,0.0018000000000000015,0.0018000000000000015
0.003600000000000003,0.004500000000000023,0.0027000000000000223,0.004500000000000023,0.0026999999999999824,-0.0018000000000000015,-0.0009000000000000208,0.0017999999999999616,0.0026999999999999824,0.0026999999999999824,0.003600000000000003,0.004499999999999985
-0.0018000000000000015,-0.0018000000000000015,0.0008999999999999808,0.003599999999999963,0.009000000000000008,0.009899999999999989,0.01080000000000001,0.01080000000000001,0.01080000000000001,0.009000000000000008,0.007200000000000006,0.004500000000000023
0.0018000000000000015,-0.0,-0.0008999999999999808,-0.003599999999999963,-0.006299999999999985,-0.009899999999999989,-0.01080000000000001,-0.01080000000000001,-0.01080000000000001,-0.009899999999999989,-0.007200000000000006,-0.005400000000000005
-0.0018000000000000015,-0.0,-0.0027000000000000223,-0.0027000000000000223,-0.0009000000000000208,-0.0026999999999999824,-0.003599999999999963,-0.003599999999999963,-0.003600000000000003,-0.0027000000000000223,-0.0026999999999999824,-0.0009000000000000208
0.0018000000000000015,-0.0,-0.0008999999999999808,-0.0,-0.0018000000000000015,-0.004500000000000023,-0.005400000000000005,-0.004500000000000023,-0.0026999999999999824,-0.0026999999999999824,-0.0018000000000000015,-0.0008999999999999808
-0.0,-0.0,0.0008999999999999808,0.0018000000000000015,0.0009000000000000208,0.0018000000000000015,0.0026999999999999824,0.0009000000000000208,-0.0009000000000000208,-0.0009000000000000208,-0.0018000000000000015,-0.0026999999999999824
-0.0018000000000000015,-0.0,0.0018000000000000015,0.0009000000000000208,-0.0,-0.0,-0.0,0.0008999999999999808,0.0009000000000000208,-0.0,-0.0018000000000000015,-0.0027000000000000223
0.0008999999999999808,-0.0009000000000000208,-0.0,0.0008999999999999808,0.0008999999999999808,0.0009000000000000208,0.0027000000000000223,0.003600000000000003,0.0026999999999999824,0.0027000000000000223,0.0018000000000000015,0.0018000000000000015
-0.0008999999999999808,-0.0,-0.0018000000000000015,-0.0018000000000000015,0.0009000000000000208,0.0018000000000000015,-0.0,-0.0008999999999999808,-0.0,-0.0,-0.0009000000000000208,-0.0018000000000000015
0.0008999999999999808,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0008999999999999808,-0.0009000000000000208,-0.0008999999999999808,-0.0018000000000000015
-0.0,0.0027000000000000223,0.0018000000000000015,0.0026999999999999824,-0.0,-0.0018000000000000015,-0.0018000000000000015,-0.0009000000000000208,-0.0009000000000000208,-0.0008999999999999808,-0.0,0.0009000000000000208
-0.0,-0.0009000000000000208,0.0009000000000000208,-0.0008999999999999808,-0.0,-0.0009000000000000208,-0.0018000000000000015,-0.003600000000000003,-0.003600000000000003,-0.0018000000000000015,-0.0009000000000000208,-0.0
0.0009000000000000208,0.0009000000000000208,0.0008999999999999808,-0.0,-0.0027000000000000223,-0.005400000000000005,-0.004500000000000023,-0.003600000000000003,-0.003600000000000003,-0.003600000000000003,-0.0018000000000000015,-0.0018000000000000015
0.0018000000000000015,-0.0,-0.0018000000000000015,-0.0008999999999999808,0.0009000000000000208,0.003600000000000003,0.004500000000000023,0.004500000000000023,0.004500000000000023,0.004499999999999985,0.003600000000000003,0.0026999999999999824
0.0008999999999999808,0.0018000000000000015,0.0018000000000000015,-0.0,-0.0,-0.0,-0.0018000000000000015,-0.0018000000000000015,-0.0009000000000000208,-0.0017999999999999616,-0.0018000000000000015,-0.0008999999999999808
-0.0008999999999999808,-0.0027000000000000223,0.003600000000000003,0.0008999999999999808,0.0008999999999999808,0.0018000000000000015,0.0026999999999999824,0.003600000000000003,0.003600000000000003,0.003599999999999963,0.003600000000000003,0.0026999999999999824
0.0018000000000000015,-0.0,-0.0018000000000000015,-0.0008999999999999808,-0.0018000000000000015,-0.003600000000000003,-0.003600000000000003,-0.003600000000000003,-0.003600000000000003,-0.003599999999999963,-0.0026999999999999824,-0.0018000000000000015
-0.0027000000000000223,-0.0,-0.0026999999999999824,-0.0,-0.0,-0.0,-0.0,0.0008999999999999808,0.0009000000000000208,0.0008999999999999808,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,0.003600000000000003,0.003600000000000003,0.0027000000000000223,0.003600000000000003,0.0026999999999999824,0.0018000000000000015,0.0018000000000000015
-0.0008999999999999808,0.0018000000000000015,-0.0,0.0008999999999999808,0.0027000000000000223,0.003600000000000003,0.004499999999999985,0.005399999999999965,0.0026999999999999824,0.0018000000000000015,-0.0,-0.0018000000000000015
